Name,Date,Open,High,Low,Close
Bitcoin,2013-04-28,101.47500000000001,101.98499999999999,99.07499999999999,100.6575
Bitcoin,2013-04-29,100.83,110.6175,100.5,108.405
Bitcoin,2013-04-30,108.0,110.1975,100.53750000000001,104.25
Bitcoin,2013-05-01,104.25,104.91749999999999,80.78999999999999,87.74249999999999
Bitcoin,2013-05-02,87.285,94.19999999999999,69.21000000000001,78.9075
Bitcoin,2013-05-03,79.6875,81.0975,59.324999999999996,73.3125
Bitcoin,2013-05-04,73.57499999999999,86.25,69.375,84.375
Bitcoin,2013-05-05,84.67500000000001,89.1,80.355,86.9325
Bitcoin,2013-05-06,86.985,93.495,79.98,84.225
Bitcoin,2013-05-07,84.1875,85.08,73.275,83.625
Bitcoin,2013-05-08,82.19999999999999,86.83500000000001,82.19999999999999,85.1775
Bitcoin,2013-05-09,84.9,85.095,81.94500000000001,84.5025
Bitcoin,2013-05-10,84.6,91.5,83.6625,87.9
Bitcoin,2013-05-11,88.275,89.01,84.75750000000001,86.42999999999999
Bitcoin,2013-05-12,86.73,88.0875,85.08,86.25
Bitcoin,2013-05-13,86.115,89.025,85.875,88.485
Bitcoin,2013-05-14,88.485,89.85,82.6875,83.625
Bitcoin,2013-05-15,83.55000000000001,86.8575,77.625,85.66499999999999
Bitcoin,2013-05-16,85.66499999999999,89.07000000000001,84.15,89.07000000000001
Bitcoin,2013-05-17,88.6575,93.975,87.4275,92.265
Bitcoin,2013-05-18,92.625,93.9375,91.725,92.625
Bitcoin,2013-05-19,92.4075,93.375,89.6775,91.49249999999999
Bitcoin,2013-05-20,91.875,92.715,90.09,91.5
Bitcoin,2013-05-21,91.515,92.25,90.9075,92.16
Bitcoin,2013-05-22,92.1675,93.0,91.5,92.9175
Bitcoin,2013-05-23,92.85,95.1975,92.32499999999999,95.025
Bitcoin,2013-05-24,94.725,100.38749999999999,94.28999999999999,99.89999999999999
Bitcoin,2013-05-25,99.82499999999999,99.91499999999999,96.67500000000001,98.98499999999999
Bitcoin,2013-05-26,98.9925,102.0,97.965,100.10999999999999
Bitcoin,2013-05-27,100.125,101.60249999999999,93.525,97.3125
Bitcoin,2013-05-28,97.32750000000001,97.935,94.19999999999999,96.75
Bitcoin,2013-05-29,96.75,99.4425,95.745,99.22500000000001
Bitcoin,2013-05-30,99.1875,99.1875,95.25,96.60000000000001
Bitcoin,2013-05-31,96.60000000000001,97.42500000000001,94.80000000000001,96.75
Bitcoin,2013-06-01,96.6075,97.33500000000001,95.4,96.97500000000001
Bitcoin,2013-06-02,96.97500000000001,97.05000000000001,86.2875,91.7175
Bitcoin,2013-06-03,91.875,91.875,87.0,91.66499999999999
Bitcoin,2013-06-04,90.55499999999999,92.88,89.32499999999999,91.065
Bitcoin,2013-06-05,91.05000000000001,92.60249999999999,89.92500000000001,91.23750000000001
Bitcoin,2013-06-06,91.42500000000001,92.32499999999999,87.9375,88.5
Bitcoin,2013-06-07,89.22749999999999,89.25,79.815,83.625
Bitcoin,2013-06-08,83.25,83.565,80.475,81.225
Bitcoin,2013-06-09,80.9175,81.74249999999999,66.375,75.0
Bitcoin,2013-06-10,75.33,82.57499999999999,71.25,79.76249999999999
Bitcoin,2013-06-11,79.76249999999999,82.19999999999999,78.0,81.67500000000001
Bitcoin,2013-06-12,81.75,83.8425,80.0475,81.11250000000001
Bitcoin,2013-06-13,81.58500000000001,82.725,75.39750000000001,78.0
Bitcoin,2013-06-14,77.9625,78.525,73.5,74.985
Bitcoin,2013-06-15,75.0,77.775,73.5,74.99249999999999
Bitcoin,2013-06-16,74.85,76.19999999999999,74.2125,74.63250000000001
Bitcoin,2013-06-17,74.92500000000001,76.6575,74.25,76.275
Bitcoin,2013-06-18,76.4625,83.3325,75.77250000000001,80.55000000000001
Bitcoin,2013-06-19,80.2875,82.66499999999999,79.3125,81.1875
Bitcoin,2013-06-20,81.1875,85.725,80.625,82.61250000000001
Bitcoin,2013-06-21,83.4675,86.24249999999999,80.7675,82.125
Bitcoin,2013-06-22,82.125,82.47,80.63250000000001,81.225
Bitcoin,2013-06-23,81.15,81.6,79.6725,80.69999999999999
Bitcoin,2013-06-24,80.92500000000001,81.2475,75.735,77.05499999999999
Bitcoin,2013-06-25,76.5675,79.85249999999999,75.75750000000001,77.9625
Bitcoin,2013-06-26,77.4975,79.11749999999999,77.0925,78.0
Bitcoin,2013-06-27,78.0,78.0,75.82499999999999,76.08
Bitcoin,2013-06-28,76.30499999999999,76.30499999999999,69.2475,70.98750000000001
Bitcoin,2013-06-29,70.995,74.99249999999999,69.75,71.24249999999999
Bitcoin,2013-06-30,71.25,73.59,70.66499999999999,72.4575
Bitcoin,2013-07-01,73.13250000000001,73.245,64.725,66.0375
Bitcoin,2013-07-02,66.0375,69.225,65.63250000000001,67.5975
Bitcoin,2013-07-03,67.8075,68.235,57.735,58.1475
Bitcoin,2013-07-04,59.167500000000004,62.332499999999996,54.0,60.3975
Bitcoin,2013-07-05,59.99249999999999,60.0,49.1475,51.322500000000005
Bitcoin,2013-07-06,51.375,56.25,50.114999999999995,52.71
Bitcoin,2013-07-07,51.5625,55.92,49.965,55.92
Bitcoin,2013-07-08,57.375,60.0,54.449999999999996,57.39
Bitcoin,2013-07-09,57.0,58.724999999999994,54.39,57.5175
Bitcoin,2013-07-10,57.54,65.25,57.150000000000006,65.07000000000001
Bitcoin,2013-07-11,66.0,67.71000000000001,63.81,66.735
Bitcoin,2013-07-12,66.735,78.0,66.1275,70.1925
Bitcoin,2013-07-13,70.49249999999999,73.6875,66.045,73.5975
Bitcoin,2013-07-14,74.025,74.025,69.645,71.0175
Bitcoin,2013-07-15,70.2075,76.42500000000001,69.8325,73.80000000000001
Bitcoin,2013-07-16,74.1675,74.895,72.105,73.0875
Bitcoin,2013-07-17,72.5325,74.97749999999999,72.135,73.875
Bitcoin,2013-07-18,73.875,74.1,64.65,67.935
Bitcoin,2013-07-19,67.5525,71.4,65.85,69.1275
Bitcoin,2013-07-20,69.0,69.82499999999999,66.9525,67.0425
Bitcoin,2013-07-21,67.365,68.9625,66.0,68.07000000000001
Bitcoin,2013-07-22,69.0,69.0,67.56,68.7075
Bitcoin,2013-07-23,68.69999999999999,72.615,68.69999999999999,71.67
Bitcoin,2013-07-24,71.67,71.99249999999999,69.75,70.88250000000001
Bitcoin,2013-07-25,70.875,72.9975,70.4025,72.67500000000001
Bitcoin,2013-07-26,72.7125,73.10249999999999,72.0,72.015
Bitcoin,2013-07-27,72.015,72.75,69.75,70.59
Bitcoin,2013-07-28,70.80000000000001,75.435,70.5,74.82000000000001
Bitcoin,2013-07-29,73.94999999999999,76.875,73.8375,75.9
Bitcoin,2013-07-30,76.11749999999999,80.99249999999999,75.35249999999999,80.99249999999999
Bitcoin,2013-07-31,80.9625,83.505,77.91,79.5675
Bitcoin,2013-08-01,79.6575,81.0,77.25750000000001,78.0
Bitcoin,2013-08-02,78.645,81.0,75.9075,78.375
Bitcoin,2013-08-03,78.375,79.33500000000001,76.5,78.0
Bitcoin,2013-08-04,78.7125,79.4625,77.64,78.855
Bitcoin,2013-08-05,78.84,80.8275,78.75,79.66499999999999
Bitcoin,2013-08-06,80.03999999999999,80.535,79.17,80.0625
Bitcoin,2013-08-07,80.0625,80.0625,80.0625,80.0625
Bitcoin,2013-08-08,80.0625,80.0625,75.94500000000001,77.25
Bitcoin,2013-08-09,77.3025,79.3125,76.455,77.1
Bitcoin,2013-08-10,77.1,77.92500000000001,76.8075,77.25
Bitcoin,2013-08-11,77.25,78.8925,77.0625,78.75
Bitcoin,2013-08-12,78.75,81.0,77.625,79.98
Bitcoin,2013-08-13,80.24249999999999,82.01249999999999,78.48750000000001,81.75
Bitcoin,2013-08-14,82.17,86.25,81.0,84.42
Bitcoin,2013-08-15,84.42,84.9375,81.75,82.49249999999999
Bitcoin,2013-08-16,82.5,84.225,81.39,81.74249999999999
Bitcoin,2013-08-17,81.74249999999999,85.3125,81.16499999999999,85.125
Bitcoin,2013-08-18,84.5625,86.0175,84.0,85.125
Bitcoin,2013-08-19,85.035,92.295,83.8275,89.25
Bitcoin,2013-08-20,89.25,92.25750000000001,88.13250000000001,90.9
Bitcoin,2013-08-21,90.9075,93.6825,89.76,92.475
Bitcoin,2013-08-22,92.475,92.625,90.44999999999999,90.86250000000001
Bitcoin,2013-08-23,91.5,91.5,88.83,88.875
Bitcoin,2013-08-24,88.88250000000001,91.0425,88.515,90.0375
Bitcoin,2013-08-25,89.69999999999999,92.24249999999999,89.3775,91.5825
Bitcoin,2013-08-26,91.5825,92.0625,89.9475,90.045
Bitcoin,2013-08-27,90.0525,95.42999999999999,90.0525,94.875
Bitcoin,2013-08-28,94.86,95.49,91.965,91.965
Bitcoin,2013-08-29,91.965,92.775,91.6575,91.7925
Bitcoin,2013-08-30,91.76249999999999,101.8125,90.74249999999999,100.1175
Bitcoin,2013-08-31,99.8175,105.66749999999999,99.53999999999999,101.51249999999999
Bitcoin,2013-09-01,101.35499999999999,109.3575,101.1075,103.755
Bitcoin,2013-09-02,103.9725,109.875,101.16749999999999,101.88749999999999
Bitcoin,2013-09-03,101.70750000000001,103.755,99.75,102.57750000000001
Bitcoin,2013-09-04,102.39750000000001,108.375,92.7075,95.05499999999999
Bitcoin,2013-09-05,95.07000000000001,98.58,91.3725,94.8225
